u1,u2,u3,delta_ept,duracion_hdm,awt_mean,awt_improvement,ept_increase,combined_improvement,hdm_activation_rate,partners_count,orders_weight_total,total_loss
7.0,3.0,5.0,4.0,11.0,4.3032,0.115,0.3403,0.1619,0.0851,18,392302.0,1.3849
6.0,3.0,10.0,2.0,15.0,4.3641,0.0541,0.1633,0.0755,0.0814,18,392302.0,0.2806
10.0,2.0,10.0,4.0,13.0,4.3049,0.1133,0.2931,0.168,0.0744,18,392302.0,0.801
9.0,2.0,10.0,2.0,13.0,4.3682,0.05,0.1658,0.0669,0.083,18,392302.0,0.3468
6.0,3.0,10.0,4.0,10.0,4.2939,0.1243,0.2641,0.1957,0.0672,18,392302.0,0.3868
5.0,3.0,10.0,4.0,10.0,4.2972,0.121,0.2803,0.1859,0.0701,18,392302.0,0.5608
10.0,3.0,4.0,2.0,14.0,4.3554,0.0628,0.1468,0.0962,0.0731,18,392302.0,0.1181
10.0,2.0,10.0,2.0,14.0,4.3605,0.0577,0.1512,0.0851,0.0757,18,392302.0,0.19
5.0,3.0,10.0,2.0,10.0,4.352,0.0662,0.1404,0.1044,0.0701,18,392302.0,0.0624
5.0,3.0,10.0,2.0,13.0,4.362,0.0562,0.1601,0.0803,0.079,18,392302.0,0.2341
5.0,3.0,10.0,2.0,12.0,4.3595,0.0587,0.1531,0.0868,0.076,18,392302.0,0.1692
4.0,1.0,6.0,10.0,17.0,4.072,0.3462,3.1268,0.0671,0.3128,18,392302.0,232.1113
10.0,2.0,10.0,2.0,10.0,4.3469,0.0713,0.1289,0.1168,0.0639,18,392302.0,-0.0137
7.0,3.0,10.0,2.0,10.0,4.3441,0.0741,0.1238,0.1234,0.0625,18,392302.0,-0.0512
10.0,1.0,10.0,10.0,10.0,4.1477,0.2705,0.6892,0.4031,0.0685,18,392302.0,4.8784
6.0,2.0,5.0,4.0,14.0,4.3824,0.0358,0.721,-0.0727,0.1803,18,392302.0,14.1506
3.0,2.0,7.0,2.0,14.0,4.5296,-0.1114,0.4336,-0.3094,0.2181,18,392302.0,9.8398
7.0,2.0,4.0,2.0,11.0,4.4472,-0.029,0.3005,-0.1181,0.1514,18,392302.0,3.445
8.0,2.0,7.0,10.0,15.0,4.0942,0.3241,1.2671,0.3947,0.1264,18,392302.0,26.2574
8.0,2.0,6.0,2.0,12.0,4.413,0.0052,0.2441,-0.0385,0.1219,18,392302.0,1.7829
9.0,3.0,5.0,4.0,19.0,4.315,0.1032,0.3813,0.1302,0.0966,18,392302.0,2.1701
6.0,2.0,9.0,2.0,15.0,4.4299,-0.0116,0.2716,-0.0776,0.1363,18,392302.0,2.4986
6.0,3.0,10.0,2.0,10.0,4.347,0.0712,0.1312,0.1161,0.0672,18,392302.0,-0.0041
6.0,3.0,10.0,10.0,14.0,4.1196,0.2986,0.7837,0.4405,0.0787,18,392302.0,6.6609
8.0,3.0,10.0,2.0,10.0,4.3381,0.0801,0.1151,0.1373,0.0568,18,392302.0,-0.102
7.0,2.0,10.0,2.0,13.0,4.3951,0.0231,0.2123,0.0038,0.1062,18,392302.0,1.0621
5.0,2.0,8.0,10.0,17.0,4.0742,0.3441,1.7949,0.3291,0.1791,18,392302.0,62.7488
9.0,2.0,10.0,2.0,10.0,4.3595,0.0587,0.1491,0.0876,0.0726,18,392302.0,0.1457
8.0,1.0,8.0,2.0,17.0,4.4352,-0.0169,0.2781,-0.0895,0.1402,18,392302.0,2.7151
6.0,2.0,8.0,2.0,19.0,4.4672,-0.049,0.3316,-0.1643,0.1669,18,392302.0,4.6424
8.0,2.0,6.0,6.0,19.0,4.2695,0.1487,0.9094,0.1155,0.152,18,392302.0,17.2311
9.0,3.0,4.0,6.0,15.0,4.243,0.1752,0.5297,0.2445,0.0874,18,392302.0,3.5266
